Frequency H/V Low_err Upp_err Coherence
-10.0 0.345776283516 0.198245911772 0.516638128123 0.312783314638
-9.98044965787 0.342016806125 0.199090394976 0.521798784388 0.310650802915
-9.96089931574 0.346619741976 0.20047855941 0.521327391903 0.307002801123
-9.94134897361 0.349330665383 0.20374618123 0.52624495479 0.306548836003
-9.92179863148 0.349975519406 0.207449413946 0.535797731856 0.306853021481
-9.90224828935 0.349210163364 0.208023662871 0.541826022811 0.305140915662
-9.88269794721 0.349054733074 0.209061826254 0.542953893547 0.305042825895
-9.86314760508 0.350338532074 0.211440927684 0.546312430351 0.303877566003
-9.84359726295 0.353030513564 0.211688439754 0.556336532397 0.301753228319
-9.82404692082 0.355824050742 0.211018191976 0.559074288925 0.299658752449
-9.80449657869 0.362341217794 0.212132895314 0.561706383572 0.298956904676
-9.78494623656 0.361235207212 0.215363915967 0.561605546318 0.298289472636
-9.76539589443 0.360697409778 0.211257063267 0.570181157374 0.298222651713
-9.7458455523 0.360920843046 0.212172965163 0.572412313637 0.298321896493
-9.72629521017 0.362585733094 0.216200415088 0.575922257156 0.297710985069
-9.70674486804 0.365460041204 0.216643293177 0.581042315165 0.298962382627
-9.6871945259 0.365312792706 0.216119205197 0.583891527018 0.296216811366
-9.66764418377 0.366691911097 0.216834912449 0.584792032546 0.295806367234
-9.64809384164 0.367959103521 0.218599439835 0.585694806802 0.296122552889
-9.62854349951 0.369372535002 0.217435775442 0.582371149998 0.298023542076
-9.60899315738 0.373999903956 0.217808946977 0.587701928663 0.299894360303
-9.58944281525 0.377898107091 0.217583248881 0.594441722325 0.297605226204
-9.56989247312 0.382245578721 0.222500097167 0.600586580154 0.296635763158
-9.55034213099 0.383610827839 0.223658655051 0.608740533979 0.296947324816
-9.53079178886 0.389285302837 0.221487265705 0.610854501853 0.298023160166
-9.51124144673 0.389836804589 0.228323600741 0.612812301336 0.297998194431
-9.49169110459 0.391408348137 0.230090150271 0.615041511658 0.298797201809
-9.47214076246 0.393963368046 0.234828995479 0.61562806789 0.297186950253
-9.45259042033 0.393708944094 0.240889203781 0.607393016769 0.296033343146
-9.4330400782 0.394103939382 0.24558849119 0.608584390418 0.295398488506
-9.41348973607 0.394540168884 0.248143968372 0.610515740577 0.295137189767
-9.39393939394 0.398801387392 0.252444968772 0.612710770269 0.297394690214
-9.37438905181 0.40079500779 0.256446930706 0.617688290702 0.301158321514
-9.35483870968 0.402028047601 0.255012727814 0.620930425887 0.302782567574
-9.33528836755 0.406300940543 0.258738540213 0.625153301209 0.305153008859
-9.31573802542 0.412305301835 0.260796505782 0.630419142846 0.307150382215
-9.29618768328 0.414540127847 0.267490311581 0.633519095154 0.307982496689
-9.27663734115 0.424475661698 0.270412995355 0.639971889849 0.308395055187
-9.25708699902 0.427677452485 0.276522543017 0.64921414713 0.311647182083
-9.23753665689 0.432517947907 0.280778314743 0.658732702047 0.312833422474
-9.21798631476 0.434406405862 0.280453966974 0.670514220698 0.313258335155
-9.19843597263 0.434903162893 0.280138092016 0.679689974425 0.314145926932
-9.1788856305 0.438063217797 0.283029810896 0.675371465463 0.314099279499
-9.15933528837 0.446661794463 0.282730174214 0.676539570906 0.315043863846
-9.13978494624 0.454889216843 0.283057439136 0.687468583159 0.315285102186
-9.12023460411 0.453171135915 0.285617644395 0.692958256637 0.317630095621
-9.10068426197 0.450837697043 0.287019295362 0.698180406058 0.320381789111
-9.08113391984 0.457082585513 0.284948749972 0.707514367615 0.321645931394
-9.06158357771 0.4605578523 0.288433426341 0.715066873687 0.32299006529
-9.04203323558 0.462620163468 0.286906993326 0.722907778359 0.32177411624
-9.02248289345 0.461059061737 0.288234116236 0.717482908815 0.32320885558
-9.00293255132 0.457833802625 0.290210331511 0.713058703789 0.322642342449
-8.98338220919 0.45302256556 0.290289775938 0.71582826549 0.32379954759
-8.96383186706 0.457334102909 0.287503346028 0.708935088041 0.324096846247
-8.94428152493 0.456123327105 0.28631095807 0.694384332175 0.324863272431
-8.9247311828 0.456754934687 0.286629946696 0.688799927438 0.325429665091
-8.90518084066 0.451938039961 0.284895876184 0.673298884421 0.328186300003
-8.88563049853 0.447415478071 0.288249367451 0.675371243622 0.329037904645
-8.8660801564 0.440266346103 0.288781356134 0.667454277347 0.330425342211
-8.84652981427 0.440347034698 0.28695226215 0.670314609016 0.33034441886
-8.82697947214 0.441607193492 0.285126643665 0.673329623347 0.330025842616
-8.80742913001 0.43528196649 0.279267103037 0.655542461214 0.331324860904
-8.78787878788 0.43360376584 0.279106979651 0.649718375538 0.332744199397
-8.76832844575 0.427038123822 0.277820920857 0.650229009844 0.334820659637
-8.74877810362 0.432667139012 0.27465868863 0.652525112509 0.336053916144
-8.72922776149 0.434981021169 0.272411543056 0.652638322128 0.336335389312
-8.70967741935 0.436990230662 0.275082133805 0.650148359155 0.336929469754
-8.69012707722 0.436058313075 0.274727303381 0.647396177009 0.336108958652
-8.67057673509 0.437510593615 0.275914885009 0.648311818585 0.335842359502
-8.65102639296 0.43635802822 0.273974252021 0.644846087697 0.336583873575
-8.63147605083 0.432267823905 0.273441015987 0.641162752483 0.335126385749
-8.6119257087 0.432011782855 0.276547240755 0.640121068104 0.336865691612
-8.59237536657 0.431550721348 0.274594696456 0.645435092919 0.336537748498
-8.57282502444 0.430676183384 0.274665555898 0.641943649901 0.338075000566
-8.55327468231 0.431724257968 0.277650580638 0.646898647544 0.335884345496
-8.53372434018 0.429680290091 0.279586252963 0.650139989943 0.335035712513
-8.51417399804 0.43534471446 0.283716291287 0.645987426258 0.335077823196
